name,safe_name,price,link,image,file,original_file,processed_file,processed_size
Çokonat Kaplı Gofret 33 G,Çokonat Kaplı Gofret 33 G,24.95,https://www.migros.com.tr/cokonat-kapli-gofret-33-g-p-6d40e3,https://images.migrosone.com/sanalmarket/product/07160035/7160035_1-5b5692.jpg,choco_Çokonat Kaplı Gofret 33 G.jpg,choco_Çokonat Kaplı Gofret 33 G.jpg,processed\choco_Çokonat Kaplı Gofret 33 G.jpg,330x330
Eti Canga Yerfıstığı Kaplı Fındık Kremalı Gofret 34 G,Eti Canga Yerfıstığı Kaplı Fındık Kremalı Gofret 34 G,21.95,https://www.migros.com.tr/eti-canga-yerfistigi-kapli-findik-kremali-gofret-34-g-p-6d5c8c,https://images.migrosone.com/sanalmarket/product/07167116/07167116-3797bf.jpg,choco_Eti Canga Yerfıstığı Kaplı Fındık Kremalı Gofret 34 G.jpg,choco_Eti Canga Yerfıstığı Kaplı Fındık Kremalı Gofret 34 G.jpg,processed\choco_Eti Canga Yerfıstığı Kaplı Fındık Kremalı Gofret 34 G.jpg,330x330
Biscolata Starz Sütlü Çikolata Kaplamalı Bisküvi 82 G,Biscolata Starz Sütlü Çikolata Kaplamalı Bisküvi 82 G,29.90,https://www.migros.com.tr/biscolata-starz-sutlu-cikolata-kaplamali-biskuvi-82-g-p-6afd74,https://images.migrosone.com/sanalmarket/product/07011700/7011700-5df785.jpg,choco_Biscolata Starz Sütlü Çikolata Kaplamalı Bisküvi 82 G.jpg,choco_Biscolata Starz Sütlü Çikolata Kaplamalı Bisküvi 82 G.jpg,processed\choco_Biscolata Starz Sütlü Çikolata Kaplamalı Bisküvi 82 G.jpg,330x330
Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G,Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G,29.90,https://www.migros.com.tr/biscolata-starz-bitter-cikolata-kakaolu-biskuvi-82-g-p-6afd75,https://images.migrosone.com/sanalmarket/product/07011701/7011701-36661c.jpg,choco_Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G.jpg,choco_Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G.jpg,processed\choco_Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G.jpg,330x330
Çizmeci Time Up Sütlü Çikolatalı Sütlü Kremalı Bisküvi 30 G,Çizmeci Time Up Sütlü Çikolatalı Sütlü Kremalı Bisküvi 30 G,22.50,https://www.migros.com.tr/cizmeci-time-up-sutlu-cikolatali-sutlu-kremali-biskuvi-30-g-p-6d43de,https://images.migrosone.com/sanalmarket/product/07160798/07160798-bb7745.jpg,choco_Çizmeci Time Up Sütlü Çikolatalı Sütlü Kremalı Bisküvi 30 G.jpg,choco_Çizmeci Time Up Sütlü Çikolatalı Sütlü Kremalı Bisküvi 30 G.jpg,processed\choco_Çizmeci Time Up Sütlü Çikolatalı Sütlü Kremalı Bisküvi 30 G.jpg,330x330
Çizmeci Time Up Sütlü Çikolata Karamel Kremalı Bisküvi 30 G,Çizmeci Time Up Sütlü Çikolata Karamel Kremalı Bisküvi 30 G,22.50,https://www.migros.com.tr/cizmeci-time-up-sutlu-cikolata-karamel-kremali-biskuvi-30-g-p-6af7dc,https://images.migrosone.com/sanalmarket/product/07010268/07010268-e77e51.jpg,choco_Çizmeci Time Up Sütlü Çikolata Karamel Kremalı Bisküvi 30 G.jpg,choco_Çizmeci Time Up Sütlü Çikolata Karamel Kremalı Bisküvi 30 G.jpg,processed\choco_Çizmeci Time Up Sütlü Çikolata Karamel Kremalı Bisküvi 30 G.jpg,330x330
Alpimilk Çikolatalı Süt 180 Ml,Alpimilk Çikolatalı Süt 180 Ml,22.90,https://www.migros.com.tr/alpimilk-cikolatali-sut-180-ml-p-b03d4e,https://images.migrosone.com/sanalmarket/product/11550030/11550030_1-ecd614.jpg,choco_Alpimilk Çikolatalı Süt 180 Ml.jpg,choco_Alpimilk Çikolatalı Süt 180 Ml.jpg,processed\choco_Alpimilk Çikolatalı Süt 180 Ml.jpg,330x330
Saklıköy Çikolata Kremalı Bisküvi 87 G,Saklıköy Çikolata Kremalı Bisküvi 87 G,22.95,https://www.migros.com.tr/saklikoy-cikolata-kremali-biskuvi-87-g-p-6b1cd3,https://images.migrosone.com/sanalmarket/product/07019731/07019731-d642e7.jpg,choco_Saklıköy Çikolata Kremalı Bisküvi 87 G.jpg,choco_Saklıköy Çikolata Kremalı Bisküvi 87 G.jpg,processed\choco_Saklıköy Çikolata Kremalı Bisküvi 87 G.jpg,330x330
Eti Karam Gurme Bitter Çikolatalı Gofret 50 g,Eti Karam Gurme Bitter Çikolatalı Gofret 50 g,29.95,https://www.migros.com.tr/eti-karam-gurme-bitter-cikolatali-gofret-50-g-p-6d43f1,https://images.migrosone.com/sanalmarket/product/7160817/7160817-b58034.jpg,choco_Eti Karam Gurme Bitter Çikolatalı Gofret 50 g.jpg,choco_Eti Karam Gurme Bitter Çikolatalı Gofret 50 g.jpg,processed\choco_Eti Karam Gurme Bitter Çikolatalı Gofret 50 g.jpg,330x330
Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G,Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G,23.95,https://www.migros.com.tr/droetker-bardakta-puding-cikolata-parcali-vanilin-32-g-p-6c57e0,https://images.migrosone.com/sanalmarket/product/07100384/07100384_1-a1f195.jpg,choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G.jpg,choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G.jpg,processed\choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G.jpg,330x330
Ülker Laviva Dolgulu ve Bisküvili Çikolata 35 G,Ülker Laviva Dolgulu ve Bisküvili Çikolata 35 G,27.50,https://www.migros.com.tr/ulker-laviva-dolgulu-ve-biskuvili-cikolata-35-g-p-6b46cc,https://images.migrosone.com/sanalmarket/product/07030476/ulker-laviva-dolgulu-ve-biskuvili-cikolata-35-gr-80ac2b.jpg,choco_Ülker Laviva Dolgulu ve Bisküvili Çikolata 35 G.jpg,choco_Ülker Laviva Dolgulu ve Bisküvili Çikolata 35 G.jpg,processed\choco_Ülker Laviva Dolgulu ve Bisküvili Çikolata 35 G.jpg,330x330
Nutmaster Kakaolu Fındık Kreması & Grisini 52G,Nutmaster Kakaolu Fındık Kreması & Grisini 52G,24.50,https://www.migros.com.tr/nutmaster-kakaolu-findik-kremasi-grisini-52g-p-6d19dc,https://images.migrosone.com/sanalmarket/product/07150044/07150044-cc1f35.jpg,choco_Nutmaster Kakaolu Fındık Kreması & Grisini 52G.jpg,choco_Nutmaster Kakaolu Fındık Kreması & Grisini 52G.jpg,processed\choco_Nutmaster Kakaolu Fındık Kreması & Grisini 52G.jpg,330x330
Torku No:1 Extra Çikolatalı Gofret 35 G,Torku No_1 Extra Çikolatalı Gofret 35 G,24.50,https://www.migros.com.tr/torku-no1-extra-cikolatali-gofret-35-g-p-6af81c,https://images.migrosone.com/sanalmarket/product/07010332/07010332-77d7f0.jpg,choco_Torku No_1 Extra Çikolatalı Gofret 35 G.jpg,choco_Torku No_1 Extra Çikolatalı Gofret 35 G.jpg,processed\choco_Torku No_1 Extra Çikolatalı Gofret 35 G.jpg,330x330
Torku 1 Daha Fındık Kremalı Gofretli Sütlü Çikolatalı 32 G,Torku 1 Daha Fındık Kremalı Gofretli Sütlü Çikolatalı 32 G,24.95,https://www.migros.com.tr/torku-1-daha-findik-kremali-gofretli-sutlu-cikolatali-32-g-p-6b7548,https://images.migrosone.com/sanalmarket/product/07042376/7042376-c6933c.jpg,choco_Torku 1 Daha Fındık Kremalı Gofretli Sütlü Çikolatalı 32 G.jpg,choco_Torku 1 Daha Fındık Kremalı Gofretli Sütlü Çikolatalı 32 G.jpg,processed\choco_Torku 1 Daha Fındık Kremalı Gofretli Sütlü Çikolatalı 32 G.jpg,330x330
Ozmo Hoppo Çikolatalı Krema Dolgulu Bisküvi 40 G,Ozmo Hoppo Çikolatalı Krema Dolgulu Bisküvi 40 G,24.95,https://www.migros.com.tr/ozmo-hoppo-cikolatali-krema-dolgulu-biskuvi-40-g-p-6b1caa,https://images.migrosone.com/sanalmarket/product/07019690/7019690-89a33d.jpg,choco_Ozmo Hoppo Çikolatalı Krema Dolgulu Bisküvi 40 G.jpg,choco_Ozmo Hoppo Çikolatalı Krema Dolgulu Bisküvi 40 G.jpg,processed\choco_Ozmo Hoppo Çikolatalı Krema Dolgulu Bisküvi 40 G.jpg,330x330
Albeni Çikolata Kaplamalı Kek 43 G,Albeni Çikolata Kaplamalı Kek 43 G,24.95,https://www.migros.com.tr/albeni-cikolata-kaplamali-kek-43-g-p-4dad11,https://images.migrosone.com/sanalmarket/product/05090577/ulker-albeni-kaplamali-cikolatali-kek-35-gr-37f2ff.jpg,choco_Albeni Çikolata Kaplamalı Kek 43 G.jpg,choco_Albeni Çikolata Kaplamalı Kek 43 G.jpg,processed\choco_Albeni Çikolata Kaplamalı Kek 43 G.jpg,330x330
Migros Çikolatalı Puding Toz Karışımı 150 G,Migros Çikolatalı Puding Toz Karışımı 150 G,24.95,https://www.migros.com.tr/migros-cikolatali-puding-toz-karisimi-150-g-p-6c5787,https://images.migrosone.com/sanalmarket/product/07100295/07100295_1-f41c99.jpg,choco_Migros Çikolatalı Puding Toz Karışımı 150 G.jpg,choco_Migros Çikolatalı Puding Toz Karışımı 150 G.jpg,processed\choco_Migros Çikolatalı Puding Toz Karışımı 150 G.jpg,330x330
Eti Browni Intense Gold Beyaz Çikolata Krema Dolgulu Kek 48 G,Eti Browni Intense Gold Beyaz Çikolata Krema Dolgulu Kek 48 G,24.95,https://www.migros.com.tr/eti-browni-intense-gold-beyaz-cikolata-krema-dolgulu-kek-48-g-p-4deb85,https://images.migrosone.com/sanalmarket/product/05106565/05106565-f52b29.jpg,choco_Eti Browni Intense Gold Beyaz Çikolata Krema Dolgulu Kek 48 G.jpg,choco_Eti Browni Intense Gold Beyaz Çikolata Krema Dolgulu Kek 48 G.jpg,processed\choco_Eti Browni Intense Gold Beyaz Çikolata Krema Dolgulu Kek 48 G.jpg,330x330
Eti Browni Intense Çikolatalı Kek 50 G,Eti Browni Intense Çikolatalı Kek 50 G,24.95,https://www.migros.com.tr/eti-browni-intense-cikolatali-kek-50-g-p-4dcae1,https://images.migrosone.com/sanalmarket/product/05098209/eti-browni-intense-50-gr-bb8473.jpg,choco_Eti Browni Intense Çikolatalı Kek 50 G.jpg,choco_Eti Browni Intense Çikolatalı Kek 50 G.jpg,processed\choco_Eti Browni Intense Çikolatalı Kek 50 G.jpg,330x330
Sarelle Gold Gofret 33 G,Sarelle Gold Gofret 33 G,25.00,https://www.migros.com.tr/sarelle-gold-gofret-33-g-p-6d40c4,https://images.migrosone.com/sanalmarket/product/07160004/7160004-a00dee.jpg,choco_Sarelle Gold Gofret 33 G.jpg,choco_Sarelle Gold Gofret 33 G.jpg,processed\choco_Sarelle Gold Gofret 33 G.jpg,330x330
Sarelle Orman Meyveli Gofret 33 G,Sarelle Orman Meyveli Gofret 33 G,25.00,https://www.migros.com.tr/sarelle-orman-meyveli-gofret-33-g-p-6b49b6,https://images.migrosone.com/sanalmarket/product/07031222/07031222_1-c3505a.jpg,choco_Sarelle Orman Meyveli Gofret 33 G.jpg,choco_Sarelle Orman Meyveli Gofret 33 G.jpg,processed\choco_Sarelle Orman Meyveli Gofret 33 G.jpg,330x330
Eti Gong Sütlü Kakao Kaplamalı 30 G,Eti Gong Sütlü Kakao Kaplamalı 30 G,25.00,https://www.migros.com.tr/eti-gong-sutlu-kakao-kaplamali-30-g-p-6b4aeb,https://images.migrosone.com/sanalmarket/product/07031531/7031531_1-861c86.jpg,choco_Eti Gong Sütlü Kakao Kaplamalı 30 G.jpg,choco_Eti Gong Sütlü Kakao Kaplamalı 30 G.jpg,processed\choco_Eti Gong Sütlü Kakao Kaplamalı 30 G.jpg,330x330
Eti Gong Çilekli Yoğurtlu Kaplamalı 30 G,Eti Gong Çilekli Yoğurtlu Kaplamalı 30 G,25.00,https://www.migros.com.tr/eti-gong-cilekli-yogurtlu-kaplamali-30-g-p-6b4aea,https://images.migrosone.com/sanalmarket/product/07031530/7031530_1-62220b.jpg,choco_Eti Gong Çilekli Yoğurtlu Kaplamalı 30 G.jpg,choco_Eti Gong Çilekli Yoğurtlu Kaplamalı 30 G.jpg,processed\choco_Eti Gong Çilekli Yoğurtlu Kaplamalı 30 G.jpg,330x330
Ozmo Fun Meslekler Serisi Figürlü Çikolatalar 23 G,Ozmo Fun Meslekler Serisi Figürlü Çikolatalar 23 G,25.00,https://www.migros.com.tr/ozmo-fun-meslekler-serisi-figurlu-cikolatalar-23-g-p-6b53a7,https://images.migrosone.com/sanalmarket/product/07033767/7033767_1-1b5f89.jpeg,choco_Ozmo Fun Meslekler Serisi Figürlü Çikolatalar 23 G.jpg,choco_Ozmo Fun Meslekler Serisi Figürlü Çikolatalar 23 G.jpg,processed\choco_Ozmo Fun Meslekler Serisi Figürlü Çikolatalar 23 G.jpg,330x330
Sarelle Hindistan Cevizli Gofret 33 G,Sarelle Hindistan Cevizli Gofret 33 G,25.00,https://www.migros.com.tr/sarelle-hindistan-cevizli-gofret-33-g-p-6b5d0c,https://images.migrosone.com/sanalmarket/product/07036172/07036172-f4f7c2.jpg,choco_Sarelle Hindistan Cevizli Gofret 33 G.jpg,choco_Sarelle Hindistan Cevizli Gofret 33 G.jpg,processed\choco_Sarelle Hindistan Cevizli Gofret 33 G.jpg,330x330
Ozmo Fun Figürlü Çikolata 23 G,Ozmo Fun Figürlü Çikolata 23 G,25.00,https://www.migros.com.tr/ozmo-fun-figurlu-cikolata-23-g-p-6b609a,https://images.migrosone.com/sanalmarket/product/07037082/7037082_1-fa3d07.jpeg,choco_Ozmo Fun Figürlü Çikolata 23 G.jpg,choco_Ozmo Fun Figürlü Çikolata 23 G.jpg,processed\choco_Ozmo Fun Figürlü Çikolata 23 G.jpg,330x330
Ülker Dankek Mousse İpeksi Çikolata Kremalı Baton Kek 45 G,Ülker Dankek Mousse İpeksi Çikolata Kremalı Baton Kek 45 G,25.50,https://www.migros.com.tr/ulker-dankek-mousse-ipeksi-cikolata-kremali-baton-kek-45-g-p-6af7d1,https://images.migrosone.com/sanalmarket/product/07010257/07010257-805270.jpg,choco_Ülker Dankek Mousse İpeksi Çikolata Kremalı Baton Kek 45 G.jpg,choco_Ülker Dankek Mousse İpeksi Çikolata Kremalı Baton Kek 45 G.jpg,processed\choco_Ülker Dankek Mousse İpeksi Çikolata Kremalı Baton Kek 45 G.jpg,330x330
Boombastic Marshmallow Çikolatalı Kek Bar 40 G,Boombastic Marshmallow Çikolatalı Kek Bar 40 G,25.90,https://www.migros.com.tr/boombastic-marshmallow-cikolatali-kek-bar-40-g-p-6b5975,https://images.migrosone.com/sanalmarket/product/07035253/07035253-16b49a.jpg,choco_Boombastic Marshmallow Çikolatalı Kek Bar 40 G.jpg,choco_Boombastic Marshmallow Çikolatalı Kek Bar 40 G.jpg,processed\choco_Boombastic Marshmallow Çikolatalı Kek Bar 40 G.jpg,330x330
Nestle 1927 Sütlü Çikolatalı Gofret 28 G,Nestle 1927 Sütlü Çikolatalı Gofret 28 G,25.95,https://www.migros.com.tr/nestle-1927-sutlu-cikolatali-gofret-28-g-p-6b56de,https://images.migrosone.com/sanalmarket/product/7034590/7034590-dbebe8.jpg,choco_Nestle 1927 Sütlü Çikolatalı Gofret 28 G.jpg,choco_Nestle 1927 Sütlü Çikolatalı Gofret 28 G.jpg,processed\choco_Nestle 1927 Sütlü Çikolatalı Gofret 28 G.jpg,330x330
